hospital_name,system,facility,county_name,zip_code,capacity,revenue,ownership,urban,type,tps_score
Ascension_Borgess,Ascension Michigan,Ascension Borgess Hospital,Kalamazoo,49048,356,1.59E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,33
Ascension_BorgessAllegan,Ascension Michigan,Ascension Borgess Allegan Hospital,Allegan,49010,25,6.95E+07,"Voluntary Nonprofit, Other",Rural,Critical Access,0
Ascension_BorgessLee,Ascension Michigan,Ascension Borgess-Lee Hospital,Cass,49047,25,6.30E+07,"Voluntary Nonprofit, Other",Rural,Critical Access,0
Ascension_BorgessPipp,Ascension Michigan,Ascension Borgess-Pipp Hospital,Allegan,49080,43,6.56E+07,"Voluntary Nonprofit, Other",Rural,Long Term,0
Ascension_BrightonCenter,Ascension Michigan,Ascension Brighton Center for Recovery,Livingston,48116,99,1.78E+07,"Voluntary Nonprofit, Other",Rural,Short Term Acute Care,0
Ascension_Genesys,Ascension Michigan,Ascension Genesys Hospital,Genesee,48439,370,1.22E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,27
Ascension_MacombOaklandMadisonHeightsCampus,Ascension Michigan,Ascension Macomb-Oakland Hospital - Madison Heights Campus,Oakland,48071,159,NaN,"Voluntary Nonprofit, Church",Urban,Short Term Acute Care,0
Ascension_MacombOaklandWarrenCampus,Ascension Michigan,Ascension Macomb-Oakland Hospital - Warren Campus,Macomb,48093,499,1.38E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,21.25
Ascension_ProvidenceNoviCampus,Ascension Michigan,"Ascension Providence Hospital, Novi Campus",Oakland,48374,0,NaN,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,0
Ascension_ProvidenceRochester,Ascension Michigan,Ascension Providence Rochester Hospital,Oakland,48307,224,6.09E+08,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,31
Ascension_ProvidenceSouthfieldCampus,Ascension Michigan,"Ascension Providence Hospital, Southfield Campus",Oakland,48075,563,2.16E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,37.75
Ascension_RiverDistrict,Ascension Michigan,Ascension River District Hospital,St. Clair,48054,68,7.25E+07,"Voluntary Nonprofit, Church",Urban,Short Term Acute Care,37.44
Ascension_Standish,Ascension Michigan,Ascension Standish Hospital,Arenac,48658,54,5.03E+07,"Voluntary Nonprofit, Other",Rural,Critical Access,0
Ascension_StJohn,Ascension Michigan,Ascension St. John Hospital,Wayne,48236,615,2.29E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,31.5
Ascension_StJoseph,Ascension Michigan,Ascension St. Joseph Hospital,Iosco,48763,47,9.42E+07,"Voluntary Nonprofit, Church",Rural,Short Term Acute Care,48.83
Ascension_StMarys,Ascension Michigan,Ascension St. Mary’s Hospital,Saginaw,48601,232,8.44E+08,"Voluntary Nonprofit, Church",Urban,Short Term Acute Care,16.75
Aspirus_IronRiver,Aspirus Inc,"Aspirus Iron River Hospital & Clinics, Inc.",Iron,49935,25,7.94E+07,"Voluntary Nonprofit, Other",Rural,Critical Access,0
Aspirus_Ironwood,Aspirus Inc,"Aspirus Ironwood Hospital & Clinics, Inc.",Gogebic,49938,25,1.41E+08,"Voluntary Nonprofit, Other",Rural,Critical Access,0
Aspirus_Keweenaw,Aspirus Inc,Aspirus Keweenaw Hospital,Houghton,49913,25,1.22E+08,"Voluntary Nonprofit, Other",Rural,Critical Access,0
Aspirus_Ontonagon,Aspirus Inc,Aspirus Ontonagon Hospital,Ontonagon,49953,64,2.35E+07,"Voluntary Nonprofit, Other",Rural,Critical Access,0
Beaumont_Dearborn,Beaumont Health,"Beaumont Hospital, Dearborn",Wayne,48124,567,2.92E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,27.5
Beaumont_FarmingtonHills,Beaumont Health,"Beaumont Hospital, Farmington Hills",Oakland,48336,301,1.52E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,33.75
Beaumont_GrossePointe,Beaumont Health,"Beaumont Hospital, Grosse Pointe",Wayne,48230,266,8.91E+08,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,50.5
Beaumont_RoyalOak,Beaumont Health,"Beaumont Hospital, Royal Oak",Oakland,48073,1098,5.21E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,29.5
Beaumont_Taylor,Beaumont Health,"Beaumont Hospital, Taylor",Wayne,48230,180,6.96E+08,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,25.5
Beaumont_Trenton,Beaumont Health,"Beaumont Hospital, Trenton",Wayne,48183,193,8.28E+08,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,30.75
Beaumont_Troy,Beaumont Health,"Beaumont Hospital, Troy",Macomb,48085,520,2.85E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,29.5
Beaumont_Wayne,Beaumont Health,"Beaumont Hospital, Wayne",Wayne,48184,86,6.47E+08,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,29.5
Bronson_BattleCreek,Bronson Healthcare Group,Bronson Battle Creek Hospital,Calhoun,49017,25,6.25E+07,"Proprietary, Corporation",Urban,Long Term,0
Bronson_Lakeview,Bronson Healthcare Group,Bronson LakeView Hospital,Van Buren,49079,35,1.24E+08,"Voluntary Nonprofit, Other",Urban,Critical Access,0
Bronson_Methodist,Bronson Healthcare Group,Bronson Methodist Hospital,Kalamazoo,49007,415,1.92E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,38.75
Bronson_SouthHaven,Bronson Healthcare Group,Bronson South Haven,Van Buren,49090,49,8.11E+07,"Governmental, Other",Urban,Short Term Acute Care,48.11
DetroitMedicalCenter_ChildrenHospital,Detroit Medical Center,DMC Children's Hospital of Michigan,Oakland,48201,228,1.19E+09,"Proprietary, Corporation",Urban,Childrens,0
DetroitMedicalCenter_DetroitReceivingHospital,Detroit Medical Center,DMC Detroit Receiving Hospital & University Health Center,Wayne,48201,210,1.25E+09,"Proprietary, Corporation",Urban,Short Term Acute Care,18.38
DetroitMedicalCenter_HarperUniversity,Detroit Medical Center,DMC Harper/Hutzel Hospital,Wayne,48201,0,NaN,"Voluntary Nonprofit, Other",Urban,Other,0
DetroitMedicalCenter_HuronValleySinai,Detroit Medical Center,DMC Huron Valley-Sinai Hospital,Oakland,48382,131,7.89E+08,"Proprietary, Corporation",Rural,Short Term Acute Care,24.25
DetroitMedicalCenter_Rehabilitation,Detroit Medical Center,DMC Rehabilitation Institute of Michigan,Wayne,48201,69,1.98E+08,"Proprietary, Corporation",Urban,Other,0
DetroitMedicalCenter_SinaiGrace,Detroit Medical Center,DMC Sinai-Grace Hospital,Wayne,48235,358,1.57E+09,"Proprietary, Corporation",Urban,Short Term Acute Care,27.75
HenryFord_AllegianceHealth,Henry Ford Health System,Henry Ford Allegiance Health,Jackson,49201,373,1.90E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,33.25
HenryFord_Hospital,Henry Ford Health System,Henry Ford Hospital,Wayne,48202,693,5.19E+09,"Voluntary Nonprofit, Other",Urban,Short Term Acute Care,28.5
HenryFord_Kingswood,Henry Ford Health System,Henry Ford Kingswood Hospital,Oakland,48220,136,4.93E+07,"Voluntary Nonprofit, Other",Urban,Other,0
