county_name,population,household_income,pop_density,male,female,children,children_percent,adult,adult_percent,senior,senior_percent,sex_ratio,white,white_percent,black,black_percent,native,native_percent,asian,asian_percent,hispanic,hispanic_percent,unemployment,high_school,uninsured,life_exp,pcp_ratio
Alcona,10405,41500,6,5233,5172,1060,0.101874099,5584,0.5366650649,3761,0.3614608361,101.2,10164,97.7,105,1,84,0.8,52,0.5,167,1.6,0.075,0.89,0.09,76.9,72.08
Alger,9108,52300,3.8,5035,4073,1099,0.1206631533,5616,0.6166007905,2393,0.2627360562,123.6,7860,86.3,735,8.1,468,5.1,45,0.5,156,1.7,0.074,0.9,0.08,80,54.17
Allegan,118081,66600,55.1,59000,59081,23260,0.1969834266,74722,0.6328029065,20099,0.1702136669,99.9,113320,96,2509,2.1,1054,0.9,1198,1,8879,7.5,0.03,0.91,0.05,79,187.92
Alpena,28405,43700,19.1,14033,14372,4369,0.1538109488,17255,0.6074634747,6781,0.2387255765,97.6,27744,97.7,282,1,193,0.7,186,0.7,426,1.5,0.046,0.92,0.06,77.8,62.08
Antrim,23324,58300,18.9,11604,11720,3291,0.1410992969,13497,0.5786743269,6536,0.2802263763,99,22701,97.3,186,0.8,337,1.4,100,0.4,585,2.5,0.058,0.92,0.08,80.9,65
Arenac,14883,44000,15.7,7494,7389,2184,0.1467446079,8859,0.5952428946,3840,0.2580124975,101.4,14449,97.1,147,1,225,1.5,62,0.4,303,2,0.073,0.88,0.08,77.7,125.42
Baraga,8209,48400,3.5,4522,3687,1134,0.1381410647,5208,0.6344256304,1867,0.2274333049,122.6,6150,74.9,708,8.6,1307,15.9,44,0.5,136,1.7,0.063,0.89,0.08,76,43.33
Barry,61550,67700,42.7,31039,30511,11017,0.1789926889,38897,0.6319577579,11636,0.1890495532,101.7,60024,97.5,681,1.1,466,0.8,379,0.6,1933,3.1,0.032,0.93,0.06,79.7,121.25
Bay,103126,50100,89.6,50627,52499,16694,0.1618796424,64790,0.6282605744,21642,0.2098597832,96.4,98761,95.8,2775,2.7,828,0.8,762,0.7,5680,5.5,0.046,0.9,0.07,77.2,108.33
Benzie,17766,56900,21.3,8864,8902,2554,0.1437577395,10424,0.5867387144,4788,0.2695035461,99.6,17157,96.6,199,1.1,307,1.7,103,0.6,448,2.5,0.06,0.93,0.08,80,67.08
Berrien,153401,50700,103.7,75042,78359,27401,0.1786233467,94878,0.61849662,31122,0.2028800334,95.8,124142,80.9,24250,15.8,1252,0.8,3757,2.4,8829,5.8,0.038,0.9,0.08,77.8,51.67
Branch,43517,52300,33.1,22524,20993,8271,0.1900636533,27117,0.623135786,8129,0.1868005607,107.3,41642,95.7,1208,2.8,292,0.7,375,0.9,2204,5.1,0.034,0.89,0.09,76.8,95.83
Calhoun,134159,50200,73.1,65760,68399,25132,0.1873299592,84593,0.6305428633,24434,0.1821271775,96.1,111271,82.9,17227,12.8,1338,1,4323,3.2,7345,5.5,0.037,0.91,0.06,76.1,71.67
Cass,51787,55000,40.6,26021,25766,8699,0.1679765192,31939,0.6167377913,11149,0.2152856895,101,47155,91.1,3360,6.5,774,1.5,498,1,2114,4.1,0.04,0.88,0.08,78,195.83
